Class/Metric,precision,recall,f1-score,support
0,0.9722222222222222,0.9752321981424149,0.973724884080371,323.0
1,0.9849056603773585,0.9830508474576272,0.9839773798303487,531.0
accuracy,0.9800936768149883,0.9800936768149883,0.9800936768149883,0.9800936768149883
macro avg,0.9785639412997904,0.9791415228000211,0.9788511319553599,854.0
weighted avg,0.9801085286161068,0.9800936768149883,0.9800996794471604,854.0
