Model Name,Accuracy,Precision,Recall,F1-Score
Xgboost,0.9836065573770492,0.9835979339392927,0.9836065573770492,0.9835965090916885
Random Forest,0.9800936768149883,0.9801085286161068,0.9800936768149883,0.9800996794471604
Decision Tree,0.9742388758782201,0.9750541497108436,0.9742388758782201,0.9740654443468657
Logistic Regression,0.914519906323185,0.9142500105541952,0.914519906323185,0.9141590050275702
