Class/Metric,precision,recall,f1-score,support
0,0.9032258064516129,0.8668730650154799,0.8846761453396524,323.0
1,0.9209558823529411,0.943502824858757,0.932093023255814,531.0
accuracy,0.914519906323185,0.914519906323185,0.914519906323185,0.914519906323185
macro avg,0.9120908444022771,0.9051879449371185,0.9083845842977332,854.0
weighted avg,0.9142500105541952,0.914519906323185,0.9141590050275702,854.0
